,speaker,utterance
0,A,Okay.
1,A,"So, What kind of experience do you, do you have, then with child care?"
2,B,"I guess, I think, uh, I wonder if that worked."
3,A,Does it say something?
4,B,I think it usually does.
5,B,"You might try, uh,"
6,B,"I don't know,"
7,B,"hold it down a little longer,"
8,B,"and see if it, uh,"
9,A,Okay
10,A,"Well, Does it usually make a recording or"
11,B,Okay
12,B,"I, Well, I don't remember."
13,B,"It seemed like it did,"
14,B,but it might not.
15,B,"I guess I guess we can start. Uh,"
16,A,Okay.
17,A,Okay.
18,B,"No,"
19,B,"I don't, I don't have any kids."
20,B,"I, uh, my sister has a, she just had a baby,"
21,B,he's about five months old
22,B,"and she was worrying about going back to work and what she was going to do with him and the different,"
23,A,Uh-huh.
24,B,do you have kids?
25,A,I have three.
26,B,"Oh, really?"
27,A,Uh-huh.
28,A,"Yeah,"
29,A,I do
30,A,"Yes, uh,"
31,A,"I don't work, though,"
32,A,"but I used to work and, when I had two children."
33,B,Uh-huh.
34,A,"I work off and on just temporarily and usually find friends to babysit,"
35,A,but I don't envy anybody who's in that situation to find day care.
36,B,Yeah.
37,A,"But, does your sister live in a big community?"
38,B,"Uh, yeah"
39,B,"she lives,"
40,B,"it's a, it's a fairly large community."
41,B,"She, uh, got real lucky, though."
42,B,"He had a boss who, uh, moved into a larger office"
43,A,Uh-huh.
44,B,and she's able to take her baby to work with her.
45,A,"Oh, really?"
46,B,And it's a small office that she works in
47,A,Uh-huh.
48,B,"and, uh, it's a, it's a legal firm, office,"
49,B,and it's just one lawyer
50,A,Um.
51,B,and so she's the only one really that takes care of the office.
52,B,There's no one else that works there.
53,A,Uh-huh.
54,B,"And so they have an extra room and everything for the baby,"
55,B,so it works out pretty good for her.
56,A,Wow.
57,A,How lucky
58,A,"I, I know a lot of people around here sometimes have, like, mothers or grandmothers that take care of their kids"
59,B,Yeah.
60,A,"and, but, the community I'm in is not a real large one,"
61,A,"so there are a lot of people who babysit in their homes that, you know,"
62,A,"you either know them or know somebody who knows them to get to,"
63,B,"Yeah,"
64,B,so it's fairly safe.
65,A,"Yeah,"
66,A,"to get references and that,"
67,A,"so, but, uh,"
