index,utterance_idx,utterance,video_id,sentiment
688,4.0,BUT JUST GOING INTO THIS A AS AN OBSERVER AND SOMEONE WHO HAS NO IDEA IT WAS A FANTASTIC FILM IT WAS SO MUCH FUN,_dI--eQ6qVU,3.0
1045,36.0,AND UM THERES NOT IN MY OPINION THERE WASNT VERY MUCH OF A BALANCE BETWEEN SORT OF LIKE THE GOOD EVIL KIND OF THING,7JsX8y1ysxY,-1.6
1201,5.0,PLUS I HAD A GOOD TIME,ZUXBRvtny7o,1.4
162,24.0,UM BUT HEY IF YOURE LOOKING TO SPEND SOME MONEY UM GO CHECK IT OUT MAYBE YOU WILL LIKE IT,Nzq88NnDkEk,-1.0
350,14.0,AND NOW IM NOT IM NOT EXCITED ANYMORE,8OtFthrtaJM,-1.4
983,4.0, I CAN TELL YOU THAT TRON LEGACY IS NOT A GOOD MOVIE,QN9ZIUWUXsY,-2.4
314,2.0,UM LIP SMACKING THIS MOVIE IS DUMB,OtBXNcAL_lE,-2.6
693,9.0, SO THAT DOESNT SURPRISE ME ,_dI--eQ6qVU,0.6
1513,10.0,AND I JUST HAD FUN WATCHING THIS MOVIE,2iD-tVS8NPw,2.2
858,12.0,UM AND I THOUGHT WOODY HARELSON WAS A FUNNY ,Jkswaaud0hk,1.6
642,21.0,AND UM IT TOTALLY MADE UP FOR THAT SO THATS OK,Ci-AH39fi3Y,1.2
406,25.0,ITS A GOOD ACTION MOVIE ,I5y0__X72p0,1.8
271,21.0,THE STORYLINE ISNT THIS GOOD,Bfr499ggo-0,-2.0
494,21.0, UM AND THATS WHAT TRADITIONL NARRATIVE MOVIES DO,Oz06ZWiO20M,0.4
1102,33.0,IS REALLY REALLY HARD CORE,2WGyTLYerpo,1.2
2,3.0,THIS MOVIE ISNT JUST BAD ITS DIABOLICAL ,nbWiPyCm4g0,-1.8
356,20.0, OVERALL OVERALL IT HAD FAR TOO MANY PLOT HOLES,8OtFthrtaJM,-1.8
492,19.0,MAKE THEM COMPELLING IN THEIR RELATIONSHIPS COMPELLING AND THEN HAVE A STORY THATS LIKE AT FIVE MINUTES THIS HAPPENS AND AT TEN MINUTES THIS HAPPENS THAT LIKE MOVES FORWARD AND HAS MOMENTUM,Oz06ZWiO20M,0.0
930,23.0,HIS FIGHT SEQUENCES ARE VERY NEAT,nzpVDcQ0ywM,2.0
1041,32.0, SO OVERALL ITS ITS LIKE A BLEND OF YOUVE GOT ALTERNATIVE HISTORY,7JsX8y1ysxY,0.6
65,12.0,AND THEY ALWAYS LIKE PULL OUT SOMETHING NEW ,jUzDDGyPkXU,0.5
1113,44.0,SHES BEAUTIFUL,2WGyTLYerpo,0.2
583,4.0,THE ACTING WAS ALLRIGHT,Dg_0XKD0Mf4,0.2
814,12.0,OTHER NOTABLE MENTIONES ARE CHRISTOPHER PLUMBER,vyB00TXsimI,0.2
939,8.0,BUT BUT I JUST DID DIDNT LAUGH,tmZoasNr4rU,-2.0
287,6.0,AND THE ONLY HE MO FILM THAT IM REALLY SCARED ABOUT IS SMALL SOLDIERS,Clx4VXItLTE,-0.4
