,text
0,encourage
1,chore
2,guide
3,housework
4,honor
5,help
6,escort
7,promote
8,rescue
9,advise
10,assist
11,cooperate
12,servant
13,oversee
14,wheelchair
15,carry
16,friend
17,encouragement
18,nursing
19,hospitality
20,offer
21,nurse
22,treat
23,favor
24,responsible
25,counsel
26,crutch
27,rely
28,generously
29,benefit
30,assistance
31,aide
32,financial
33,duty
34,advisor
35,support
36,aid
37,entrust
38,housekeeping
39,helpful
40,protection
41,volunteer
42,tend
43,supportive
44,grateful
45,patient
46,helper
47,request
48,protect
49,temporary
50,maid
51,serve
52,kindly
53,provide
54,trust
55,obligation
56,stabilize
57,prepare
58,colleague
59,headquarters
60,workplace
61,chair
62,tutor
63,fax
64,blueprint
65,programming
66,organizing
67,copier
68,spreadsheet
69,computer
70,keyboard
71,backroom
72,advisor
73,registration
74,file
75,cubicle
76,organize
77,briefcase
78,handbook
79,workstation
80,attendance
81,organizer
82,typing
83,meeting
84,building
85,pager
86,consultant
87,reception
88,laptop
89,binder
90,receptionist
91,therapist
92,informational
93,setup
94,administration
95,registrar
96,secretary
97,planner
98,application
99,agenda
100,table
101,projector
102,notify
103,lecture
104,roster
105,scheduling
106,assist
107,conference
108,boardroom
109,tablet
110,interview
111,booking
112,client
113,administrative
114,archive
115,timetable
116,typewriter
117,supervise
118,director
119,assistant
120,counsellor
121,document
122,memo
123,employee
124,briefing
125,desk
126,desktop
127,schedule
128,folder
129,bookshelf
130,technician
131,record
132,presentation
133,information
134,office
135,paperwork
136,administrator
137,room
138,consultation
139,clipboard
140,staff
141,program
142,accounting
143,marketing
144,intercom
145,manager
146,printing
147,supervisor
148,jukebox
149,techno
150,rhythmic
151,song
152,rehearsal
153,glee
154,ballroom
155,dance
156,swaying
157,hip
158,footwork
159,dancing
160,turns
161,band
162,partying
163,rapping
164,classic
165,studio
166,tap
167,sync
168,sway
169,freestyle
170,motion
171,dj
172,waltz
173,accompaniment
174,performer
175,choir
176,ballet
177,entertain
178,chord
179,upbeat
180,bounce
181,disco
182,grind
183,strut
184,dancer
185,performance
186,recital
187,twirl
188,chorus
189,ballerina
190,tune
191,cheer
192,cd
193,drum
194,perform
195,contemporary
196,club
197,musician
198,rave
199,radio
200,acrobatic
201,ballad
202,swinging
203,practice
204,melodic
205,choreographer
206,choreography
207,twirling
208,jazz
209,guitar
210,rehearsing
211,bohemian
212,rehearse
213,stage
214,rock
215,hypnotic
216,bop
217,gymnastic
218,music
219,classical
220,musical
221,burlesque
222,gymnastics
223,solo
224,speaker
225,medley
226,acrobatics
227,pianist
228,spotlight
229,rendition
230,jaunty
231,practicing
232,onstage
233,lottery
234,membership
235,rupee
236,donation
237,fund
238,shilling
239,change
240,peso
241,buy
242,trillion
243,banking
244,fortune
245,yen
246,monetary
247,credit
248,dime
249,wad
250,costly
251,euro
252,loan
253,budget
254,money
255,bill
256,gambling
257,sale
258,bidding
259,allowance
260,repay
261,bail
262,profit
263,employment
264,income
265,paying
266,salary
267,price
268,mortgage
269,nickel
270,cent
271,deposit
272,revenue
273,retail
274,ransom
275,merchandise
276,payday
277,pension
278,dollar
279,investment
280,pricey
281,mint
282,clerk
283,buyer
284,saving
285,inheritance
286,cost
287,banker
288,receipt
289,trade
290,expensive
291,finance
292,currency
293,count
294,bankruptcy
295,buying
296,owe
297,treasury
298,bribe
299,paid
300,drachma
301,quid
302,coin
303,donate
304,payment
305,splurge
306,coupon
307,pay
308,wallet
309,compensation
310,repayment
311,buck
312,earnings
313,employee
314,bank
315,reward
316,franc
317,worth
318,tax
319,paycheck
320,gamble
321,hundred
322,prize
323,checkbook
324,financial
325,debt
326,rent
327,deduct
328,millionaire
329,seller
330,funding
331,bargain
332,voucher
333,debit
334,wage
335,discount
336,cash
337,purchase
338,cheque
339,invest
340,debutante
341,congratulation
342,son
343,wed
344,vicar
345,prospective
346,engagement
347,relationship
348,vow
349,planning
350,faithful
351,cherish
352,suitor
353,bride
354,wife
355,pronounce
356,proposal
357,celebration
358,priest
359,happy
360,honor
361,oldest
362,tradition
363,invitation
364,reception
365,marry
366,engage
367,commitment
368,lawfully
369,newlywed
370,announce
371,bonding
372,church
373,appointment
374,beloved
375,official
376,in-law
377,planner
378,officially
379,inheritance
380,family
381,remarry
382,overjoyed
383,engaged
384,pledge
385,marital
386,finance
387,caterer
388,stepson
389,dowry
390,gift
391,spouse
392,marriage
393,promise
394,girlfriend
395,altar
396,propose
397,vacation
398,someday
399,fiancee
400,plan
401,honeymoon
402,invite
403,arrange
404,anniversary
405,ecstatic
406,commemorate
407,cancel
408,celebrate
409,married
410,jeweler
411,lawful
412,tuxedo
413,arranged
414,romantically
415,rejoice
416,wedlock
417,dutiful
418,ceremony
419,boyfriend
420,pact
421,wedding
422,husband
423,groom
424,wedded
425,agree
426,prince
427,courtship
428,ring
429,valentine
430,divorced
431,declare
432,finalize
433,party
434,tidy
435,home
436,errand
437,family
438,chore
439,bathroom
440,housework
441,parent
442,mum
443,remodeling
444,house
445,sitter
446,nanny
447,wash
448,organizing
449,clean
450,washing
451,kitchen
452,scrubbing
453,cleaner
454,mom
455,spotless
456,cleaned
457,laundry
458,housekeeping
459,vacuum
460,housekeeper
461,meal
462,organize
463,baking
464,job
465,cooking
466,scrub
467,serve
468,cook
469,morning
470,chef
471,bake
472,dishwasher
473,cleaning
474,washer
475,napping
476,sleepless
477,mattress
478,tired
479,wakeup
480,undisturbed
481,awoke
482,sheet
483,exhaustion
484,asleep
485,settle
486,dreaming
487,slept
488,laying
489,cushion
490,sleep
491,nap
492,exhausted
493,dream
494,sleepy
495,yawning
496,nighttime
497,slumber
498,peaceful
499,crib
500,blanket
501,rest
502,snoring
503,hotel
504,quilt
505,nightmare
506,lazy
507,lull
508,bedding
509,lazily
510,sleeping
511,resting
512,dreamt
513,awaken
514,pillow
515,comfort
516,tonight
517,lay
518,bedroom
519,hammock
520,bedtime
521,relax
522,tiring
523,half
524,morning
525,comfortably
526,bed
527,sedative
528,lifeless
529,tumor
530,severe
531,flu
532,coroner
533,deathbed
534,childbirth
535,wheelchair
536,cardiac
537,aneurysm
538,pharmacy
539,ward
540,panic
541,schizophrenia
542,stretcher
543,unresponsive
544,miscarriage
545,antibiotic
546,limp
547,painkiller
548,biopsy
549,unconscious
550,schizophrenic
551,pregnant
552,diagnosis
553,contraction
554,sickness
555,breakdown
556,stroke
557,anesthetic
